22704001_317453613557510144 x	Flyers lost in the shootout. They're now 1-2 in shootouts this year.
22704001_392393454422327296 x	After "Mother" Pearl Jam sound checked "Pilate" so there's that.
22704001_392393285521911808 x	@HarrisonMooney have some fig newtons. It will make you feel better.
22704001_392386548043620352 x	@zoowithroy real breaking news: Talonsnake spotted with, um, that nickname you have for me at the PJ soundcheck!
22704001_392382000780541952 x	RT @The700Level: Fan poll in favor of firing Paul Holmgren ?doesn?t mean anything? to Flyers http://t.co/I9IaiXlmb4
22704001_392380719496175616 x	@jsaquella same, actually. Give Hextall a year to get re-acclimated.
22704001_392381288415789056 x	@jsaquella exactly. That shouldn't be overlooked.
22704001_392374467696922624 x	@dpawling I'm GA tonight. CSN's suite the second night.
22704001_392363300673306624 x	I'm ready to go, pearljamofficial. @ Wells Fargo Center http://t.co/MxxnXxyHQY
22704001_392364779961982977 x	Damn straight. RT @BeerMeABeer fan club tickets?
22704001_392368412476719104 x	@BeerMeABeer GA tonight. You'll see me hopefully as close to the stage as I can get.
22704001_392366050618007552 x	@FanSince09 Speaking of, your hair looked beautiful on your last Lunch Break appearance.
22704001_392365972918513664 x	@iancmclaren Hockey + Pearl Jam = <3
22704001_392363624083116033 x	@JoeYerdonPHT Sorry Joe -- er, I mean, Yerds :)
22704001_392362087965405185 x	@BroadStHockey @BSH_EricT Maybe eventually they'll create a stat that deals with older tough guys' production?
22704001_392361409117302784 x	@BSH_EricT @mlse And, predictably, the last Flyers official quote on Corsi/Fenwick was: "What is that?" from Peter Laviolette.
22704001_392329094752657408 x	Hello, pearljamofficial Philly T-shirt @ Wells Fargo Center http://t.co/aU9QHHTu5t
22704001_392339996830863360 x	@Bill_G3 I never have before but might tonight :)
22704001_392329560559476736 x	@dhm good oof or bad oof?
22704001_392329840181129216 x	@dhm a devastated "I want one!!1!" oof, perhaps?
22704001_392306534371188738 x	New Jersey is a better place than Pennsylvania today. #HappyMonday
22704001_392288254411554816 x	I can't post about my @PearlJam excitement on Facebook because it's broken so can we talk about it here? K thanks.
22704001_392292442394746880 x	@JMBstein Yeah, they'll start with Pendulum. How about a dream guess? Faithfull for Song #2.
22704001_395514569768325120 x	Headed to an Allen Iverson press conference today. Is it 2001 or 2013?
22704001_391015396855140352 x	The Flyers 1-7 record is their worst start to a season, ever. Previous "worst" was 1-6-1. #FlyersTalk
22704001_390995789314392064 x	Shots are 21-8 Penguins right now. Your Flyers are in this because Steve Mason.
22704001_387310070721019904 x	Can we chalk the 3-game timing to Holmgren's realization target is on his back, w/ Hextall in the wings? Holmgren knew he had to act quick.
22704001_387003849703059456 x	So I guess when Scott Laughton went back to Oshawa he took all the goals with him? Trying to think of other possibilities here ...
22704001_352205114527846400 x	Would a Flyers defense minus Coburn plus Streit really be that much better than last year's? I don't buy that.
22704001_352195442915811328 x	Yeah ... I don't think next year's Flyers are going to be a smartly constructed team.
22704001_390229180954451968 x	You people are ridiculous. Pink is an awesome color. I wish my hockey team wore pink jerseys. They'd look sick.
22704001_391032916290990080 x	My 10 observations from tonight's #Flyers loss: http://t.co/7i47aHaVvR What are some of yours?
22704001_388879939988365313 x	They don't have Warren Zevon at this karaoke place. So I'm gonna go with Britney Spears. You know. Just FYI.
