200599938_386329868876533760 x	Louisville only a 32 1/2-point favorite! RT @Pat_Mitchell15 I smell an upset
200599938_394635336631873536 x	Good stuff from @GeoffMosherCSN examining all the bewildering calls Chip Kelly made today: http://t.co/HqEK3JpmjU
200599938_394615662414270464 x	Have you read ANYTHING I've written? MT @t_bobroski why can't you writers get it?  Vick is not the answer; short term or long term. #moveon
200599938_389474962316079104 x	Since his first NFL start, Foles has thrown 248 passes with 11 touchdowns and 2 interceptions. #EaglesTalk
200599938_383771237744271361 x	Phillies have had 3 or fewer hits in 11 games, most since 1988 (17).
200599938_396123519798345728 x	That's the third overtime safety. Vikings beat Rams 23-21 in 1989, Bears beat Titans 19-17 in 2004.
200599938_385485533066973184 x	Eagles were 123-74-1 from 2000 until Joe Webb. They're 13-26 since Joe Webb.
200599938_380900053461651456 x	Andy only has one fewer win at the Linc this year than he had last year.
200599938_374266639539122176 x	Eagles drafted 94 players from 2003 through 2012 and four have made a Pro Bowl (Andrews 2, Cole 2, DeSean 2, LeSean 1).
200599938_374331037683171328 x	Who didn't draft Andrews? RT @gsbatch1 they didn't even draft Andrews.
200599938_374333611660414977 x	think Bennie Logan will be a beast MT @craigsburnett outside Johnson, what rookie do you think will make the biggest impact this year?
200599938_381215046874849281 x	I can't believe people are arguing that the Eagles need to trade for Kenny Britt. Has it really come to this? Kenny Britt? Seriously?
200599938_381223562700288000 x	clearly RT @HARDNARD901  we do need a WR tho.
200599938_349907191710490624 x	I think he's going somewhere else for a while RT @BrendanLee_  Aaron Hernandez to the Eagles?
200599938_379314197042970624 x	Eagles' team doc now going out to assist Chargers' medical people with Floyd. Has been down several minutes.
200599938_395381003046227968 x	With Sopoaga gone, Cole (122) now has most career starts on the Eagles, followed by DeMeco (110), Vick (109), Herremans (108), Peters (105).
200599938_394570945471332352 x	Total yards: Calvin Johnson 329, Philadelphia Eagles 201.
200599938_218495728388018178 x	funny stuff RT @amercer002  "Other than how I played, I had a great career." -Matt Geiger
200599938_237668112537894914 x	what I said is Kafka isn't healthy & Foles isn't ready. Trent only other guy on roster RT @JayMcAteer why do u think Edwards should be #2 QB
200599938_236661997394087938 x	Vance Worley first 11 starts: 68 IP, 21 ER, 62 hits (2.78). Last 10 starts: 54 2/3, 35 ER, 75 hits (5.76). Time to go get the surgery.
200599938_392130402262855681 x	Last Eagle QB with 3 or more INTs and 0 TDs in a game: Ty Detmer at Indianapolis in 1996.
200599938_398319095797399552 x	In just 3 1/2 games, Nick Foles has completed more passes of 40 yards or more this year than Rodgers, Romo, Brady, R. Wilson, C. Palmer, Eli
200599938_378345852323909632 x	Only 11 RBs in NFL history have rushed for 300 yards the first 2 weeks of the season. Shady needs 116 to become the 12th. Think he does it?
200599938_399041460768481280 x	because he rolled his eyes once? please RT @HornChris14  courious if u heard that Shawn Andrews convo today.  Mcnabb a bully?
200599938_397741285626245120 x	Off to Canton: http://t.co/PEoo5BxFYU
200599938_397530635226447872 x	"I don?t play sports for myself. I never did." On day later, Nick Foles reflects on his record-setting performance: http://t.co/ToWZamDQsn
200599938_397387925609914368 x	Nick Foles is 34th in the NFL in pass attempts and 11th in the NFL in touchdown passes.
200599938_397277073544212480 x	Foles has the 9th-highest passer rating in NFL history [min 350 att..] Trails Rodgers, R.Wilson, S.Young, Peyton, Romo, Brady, Rivers, Brees
200599938_397135593257172992 x	Foles is 6th Eagle with 5+ TD passes in a game. Adrian Burk 2x in 1954 [7 vs Wash] & also Jurgensen twice, Snead, McNabb twice and Randall.
200599938_395727248583442434 x	Victorino just became first in MLB history with 4 career postseason games with 4 RBIs. Thome, Pujols, Ortiz, Matsui, Garvey & Berra have 3.
200599938_394609023833481216 x	absolutely RT @George_Leigh Only 8 games into his tenure but I think it's fair to question Chip's decisions at QB & offensive game plan, no?
200599938_394580584380395520 x	The last Eagles linebacker to score on a fumble recovery return? How about that Brian Rolle, of all people. Vs. the Bears in 2011.
200599938_394534939766435840 x	Vick, I guess? RT @Bliz22 If Barkley were to get hurt who would QB?
200599938_394525800768106496 x	Barkley now coming in the game. Getting high fives from the offensive linemen. Helmet on. #EaglesTalk
200599938_392335236992090112 x	Chip Kelly said Foles' groin injury was not a factor Sunday. Hadn't been on injury report since Tampa week. Foles does have a concussion.
200599938_391714527865094144 x	Here's a bad Wilco joke: Sky Blue Sky! hahahahaha RT @littleredyarn Actually, maybe all the Birds need is "A Shot In The Arm". #badwilcojoke
200599938_391721315545010176 x	Eagles need to get their Autumn Defense going! RT @greg_papazian @littleredyarn  I want to have my Summerteeth showing tomorrow
200599938_390277546392043521 x	Michael Vick and Nick Foles aren't going to let any QB controversy get in the way of their friendship. Here's why: http://t.co/HhdzwzIcBo
200599938_250265744300965888 x	"We thought we had some opportunities down the field ... and it didn't happen."
200599938_250264367638118401 x	"I need to do a better job as head football coach. We need to prepare better, we need to coach better and we need to play better."
200599938_247422586445774848 x	Ryans is having one hell of a game.
200599938_247414617582735360 x	When VIck's knees come down, the ball is across the 4. That should be a first-and-goal Eagles.
200599938_240105840042979328 x	You really think they're going to cut Brandon Graham? RT @JoeB_OandBP It seems Brandon Graham has recovered, but do you see him being cut?
200599938_397553695560183808 x	Seneca Wallace started in 2008 for Seattle in 26-7 Eagles win. Eagles TD catches by R. Brown & Herremans. Wallace: 13-29, 169, 1 TD, 0 INT.
200599938_358762331435581440 x	I'd think in next several days MT @EdwardARizzo saw Dion Jordan signed & MIA got offset language ...Does this mean Lane's deal done soon?
200599938_341766706047361024 x	Flipping around Extra Innings to the Astros-Angels game and just heard ... "What a gem Blanton has thrown tonight."
200599938_399383820165578752 x	Hey, @Winless4Wiggins ... just curious ... have you ever actually seen Andrew Wiggins play basketball?
200599938_399387588512849920 x	There's no guarantee of that RT @Ronniep145 @Winless4Wiggins We lose for one season for 15 of greatness. I don't see the problem.
200599938_399399056805339137 x	MCW has all the makings MT @MattJenne22 @Winless4Wiggins @WiffleBall1 @Ronniep145 you need a superstar to do anything & we don't have one
200599938_399400342510501888 x	And Wiggins has played 1 in college RT @MarloweAlter @MattJenne22 @Winless4Wiggins @WiffleBall1 @Ronniep145 Played 7 gms
200599938_396815809852370944 x	I love this team.
200599938_386840419062919169 x	I picked Eagles 31, Giants 21. What do you guys think?
200599938_392868242760286208 x	oh no! have you considered writing in google docs? It auto saves every few seconds MT @mollyeichel YOU FORGET TO HIT SAVE. I just did that
200599938_392869469040553984 x	Would it help if I texted you every 15 seconds throughout the day & reminded you to save? RT @mollyeichel  I always, always forget to save
200599938_384404748788445184 x	There's a guy sitting behind me and @SheridanScribe flossing his teeth. In the press box. I don't believe in violations, but ... DUDE.
200599938_356394002884472833 x	A few hours later, watching a replay of Jimmy's slide. What an amazing slide. Has been tough year for Jimmy, but that was a hell of a slide.
200599938_356397246071320577 x	Bob Dernier, Ricky Otero, Doug Glanville, Ricky Ledee, Wendell Magee, Jeff Stone & isn't Lenny out of jail? RT @adammark1976 CF options?
200599938_354776609175257088 x	So who gets the 9th? Aaron Fultz? Joe Boever? Toby Borland? Clay Condrey? Yorkis Perez? Ed Vosberg? Sid Monge? Geoff Geary? Amaury Telemaco?
200599938_326884925703852032 x	Last time the Phils were blanked three times within their first 21 games: 1985.
200599938_293858666069778432 x	Am I the only one who thinks it's ridiculous the Eagles won't confirm they've hired guys wearing Eagles coaching badges at the Senior Bowl?
200599938_291250309517426688 x	Gus Bradley's charter now over Reed City, Mich.: http://t.co/5oap9htb
200599938_394524041576341504 x	20 consecutive drives without a touchdown for the Eagles. #EaglesTalk
200599938_361544837444538369 x	As expected, Riley Cooper in with the 1's with Maclin hurt.
200599938_291189221266432000 x	It's a very popular show for a reason. They're great at what they do RT @tdonch anybody noticed Angelo really knows nothing about football
200599938_302172654666907649 x	Who do you guys think is the Eagles' starting QB on opening day? I actually think Foles wins the job if he gets a legit shot.
200599938_182855541121486848 x	What is the last move the Eagles made that was as popular with the fans as trading for DeMeco Ryans?
200599938_397127695185608704 x	Chip really going for it? It's a long 1.
200599938_292869937058418688 x	49ers 31, Falcons 24 ... Ravens 33, Patriots 30 RT @LiberalVHoovers  Who do you like in today's football games?
200599938_285492235527655424 x	Andy on Lurie: "He"s always done what's best for the Eagles, and whatever decision he makes will be the right one."
200599938_274696430550147072 x	gotta go son volt ... maybe some highways & cigarettes? @Mind4Mud  Son Volt for karaoke?
200599938_274385887431897089 x	PROTECTED
200599938_391991662466973697 x	Eagles will be honoring Bryan Barker at halftime. #EaglesTalk
200599938_288856507284615168 x	Hey, make sure you follow my man @BigDaddyGraham from 94 WIP for funny & insightful commentary on sports, music, movies, babes & much more!
200599938_367494496348418048 x	whoa, 30 guesses and nobody is close!
200599938_400024866415325185 x	Eagles GM Howie Roseman said on his 94 WIP radio show FS Earl Wolff's knee injury is a "multi-week injury."
200599938_400031050711048192 x	Just don't know. This administration is very secretive about injuries RT @Chapat79 Nothing torn right?
200599938_400032076239364096 x	yep. people laughed at "OK, injuries," but it was useful info MT @cnnross he may have been monotone but at least Reid gave SOME injury info
200599938_377221627424948224 x	Eagles ran 30 plays in the first quarter. Avewrage 67.4 per game last year, which was 6th-most in NFL.
200599938_362764974172549120 x	And FOOTBALL links: Boykin: http://t.co/zC20kK3QWg Vick shines: http://t.co/0QAPEWBzIQ Jason Peters' wild NFL start: http://t.co/HNZKk6fBVa
200599938_277869476429586432 x	It was a fumble, but if the defensive player doesn't pick it up right away, according to the new rule, the play is over.
200599938_392013378840838144 x	Last time the Eagles were scoreless through three quarters: Last day of 2009 regular season, at Dallas, in 24-0 loss.
200599938_385524904415592448 x	Most career QB losses vs. Eagles: Simms 12, Aikman 11, Eli Manning 10, Jim Hart 9, Theismann 8, Collins 7, Favre 7, Romo, Lomax, et al 6
200599938_399919468664455168 x	Most completions of 40 yards or more this year: Andy Dalton 12, Joe Flacco 10, Nick Foles 9, Drew Brees 9, Matt Stafford 9.
200599938_399682778519711744 x	Foles' passer rating of 149.3 is highest ever by an opposing QB vs. Packers at Lambeau Field [or County Stadium].
200599938_397476965365477376 x	The Pro Football Hall of Fame has asked Eagles for gear from Nick Foles' record-setting game. Equipment guy Greg Delimitros handling details
200599938_397493661727858689 x	no? RT @daveskissarmy your kidding on this correct?
200599938_394947688614985729 x	Winning > Losing. Always. RT @patgattis shouldn't we lose now, it should be rebuild year anyway.
200599938_394617484495446017 x	DRC's pick-6 today is the 5th of his career That is tied for 6th-most in NFL history by a player in his first six seasons.
200599938_391901054129811456 x	"We have a chance to take over this division." Eagles & Cowboys battling for NFC East lead. Who would have thought? http://t.co/95UGsI0ZUM
200599938_391286203250933760 x	NIck Foles has been named the FedEx Air Player of the Week.
200599938_389841253862363136 x	Eagles have re-signed WR B.J. Cunningham to the 53 and released 4th TE Emil Igwenagu.
200599938_389508829945155585 x	The Eagles have won twice in Tampa since the last time they won in Philly.
200599938_379400707935195136 x	Shady's 356 yards from scrimmage are 16th-most in NFL history through two games. Previous Eagles best was his coach, Duce, with 331 in 2000.
200599938_371506812656156672 x	Why does it bother people when Foles throws a short pass a RB or WR takes 29 yds? High-pct big play. That's a good thing. Not a bad thing.
200599938_329632643283025922 x	An NFL spokesman told me via email the league is "looking into" Russell Shepard's comments to a Baton Rouge radio station.
200599938_322135260060073984 x	Mets strand three and Phils lead 5-1, but Kendrick now at 49 pitches through two innings.
200599938_314206974348775425 x	Jeremy Maclin is one of 7 WRs in NFL history w. 265 catches, 3700 yards and 27 TDs in first 4 seasons. He's 24. You keep him.
200599938_314209248781402112 x	I really believe he'll be at that level RT @ajtorres1230  if the eagles get rid of Maclin, they're giving up a pro bowler in the making
200599938_299760167598297088 x	I would guess early next week RT @R_yannaccone when will the coaching staff ACTUALLY get announced?
200599938_298395699870056450 x	Strong piece by the Star-Ledger's @StevePoliti on how John Harbaugh won with class and Jim Harbaugh lost with none: http://t.co/KRVDKhKL
200599938_298398977743802368 x	The guy showed zero class. Still has given John no credit MT @yatesj3 Easy on Jim, Roob. You'd be pissed if your game came down to nocall...
200599938_294596776902672384 x	Saints had worst defense in NFL history last year MT @RyanGUT32 Hey @RoobCSN if chip wants to make good with fans he'll hire spags asap
200599938_294604087100575744 x	You don't? Only team in NFL history to allow 7,000 yards. Do you think I'm lying? MT @Notseanbrace  I don't think that's entirely accurate.
200599938_294609323810750465 x	me too.  MT @Notseanbrace @thesurething77 I'd much rather have Spags than Donatell.
200599938_294612156069056512 x	how do you hire a down & distance? RT @Jay_Grace_69 @Notseanbrace @thesurething77 Fan base will go nuts if they hire 4th & 26
200599938_293427582584647680 x	Eagles aren't confirming Rick Minter, either, for what it's worth. Not sure they'd confirm that the Schuylkill is jammed at this point.
200599938_400492837428412416 x	I think the Phillies need to figure out how to draft & develop young players RT @erubarkh what do you think of bautista for brown?
200599938_379613085574918144 x	Who do you guys like in the Clock Management Bowl Thursday night?
200599938_381623222891847680 x	he was very close. tough list to break into RT @Kschaffer36 Nice but why isn't Trent Cole up there?
200599938_327159088855257090 x	Who was the last playmaker the Eagles drafted on defense? Ummm ... hmmmm .... uhhhhhh ... It's been quite a while: http://t.co/unXGNShysy
200599938_285461159799296001 x	Last time Eagles allowed 28 in first half was Reggie night -- Dec. 5, 2005. Allowed 35 to Seahawks in first half on a Monday night.
200599938_263392252234182656 x	Do enough Eagles give a damn? Do they care when they get benched? Do they hurt when they lose? My thoughts are here: http://t.co/B5vZ1zll
200599938_255009270469386240 x	Eagles have faced 60 consecutive pass plays without recording a sack. Their last sack was Babin on Kolb with 3:57 to go in 3Q 2 weeks ago.
200599938_241321958229307392 x	These refs are letting the Jets tee off on Trent Edwards. Tough dude. Pops back up.
200599938_392102676038561793 x	We can't draw any conclusions about Matt Barkley today. Impossible situation. Peyton Manning had 11 interceptions in his first 4 NFL games.
200599938_386986703480573953 x	Chip hasn't been asked about Foles all year until today. Just stop RT @NFLGoodwitch @Bamboo195 @ckazpipes like asking is necessary each week
200599938_380684856612515840 x	Donovan McNabb, who'll have his #5 retired tonight, has some strong opinions on the Eagles' offense: http://t.co/nx84k7srLZ #EaglesTalk
200599938_379422728006021121 x	I don't think the NFLPA would be very happy with that! MT @offspringofmary  is there a way to not pay the players on defense for this week?
200599938_377112969512906753 x	Top opening-day Eagles receiving totals: McDonald 179, 1963, H. Jackson 161, 1972, Quick 147, 1984, Stallworth, 141, 2006, Quick 140, 1989.
200599938_399713387828883456 x	Driving through rural Wisconsin with @GeoffMosherCSN and just saw a billboard advertising the John Tesh Christmas show. GET ME OUT OF HERE!
200599938_399658927454818304 x	Nick Foles' 149.3 passer rating was his worst since the Dallas game.
200599938_399047472695083009 x	oh please. don't insult me. Mike does a good job. Shawn offered no substance @KevBoat44 It's funny How u Downplay it Cuz it's @975TheFanatic
200599938_394538217019424769 x	Giants announcing VIctor Cruz is inside having x-rays on his neck.
200599938_368158931945676800 x	Foles was 6-for-6 for 42 yards tonight and 11-for-12 for 85 yards in two games before the INT. That's two turnovers now for Foles.
200599938_366297617916895232 x	Did the 76ers not name a coach yet?
200599938_268880329186623488 x	I don't really understand the concept of the 76ers' offense.
200599938_394274121841770496 x	So she's now allowed to play the new @JosephArthur? MT @SPTapRoom congrats to @sbaickerCSN, winner of this year's pumpkin carving contest!
200599938_394640962871246848 x	Blue Light in the Rear View? RT @sbaickerCSN @PearlJam Hearing Rearviewmirror at @pearljam shows makes me happy. That is all.
200599938_392875054754562048 x	So tell me what Guided by Voices album sucks, Feldman? RT @Bfeldman5141  GBV
200599938_392875689692520448 x	hahaha, so true! how was Pearl Jam tonight? RT @sbaickerCSN @Bfeldman5141 the answer is: "no albums suck, but that one show at the Troc did"
200599938_395212108419592192 x	A league source tells me an ESPN report that Eagles DE Vinny Curry is being shopped is not accurate. Said Curry will not be traded.
200599938_394629126075588608 x	If Eagles hold Raiders below 100 rushing yards, will be first time since 1991/1992 they've held five straight teams under 100 rushing yards.
200599938_394638471865712642 x	Cowboys #3 offense in NFL. Scored 17 vs. Eagles. RT @RCS_RSTOKLEY this Eagles D still stinks. Wait till they play a real explosive O
200599938_300456735641051136 x	Villanova has 15 wins w. 7 games left & Big East tourney. In Big East history, 155 of 161 20-win teams have gotten an NCAA bid [96.3%].
200599938_395332193095921664 x	When I told Freddie in 2009 that he had two of the top 20 plays in my book, "The 50 Greatest Plays in Eagles History," he said, "Just TWO?"
200599938_394980162262941697 x	Seth Joyner, Randall Cunningham, Wes Hopkins, Matt Barkley RT @robelliott6 who are some notable eagles that have never won at the LINC yet?
200599938_307105044468228096 x	Who's had the better offseason so far ... Chip Kelly or Andy Reid?
200599938_307107088709083137 x	Both built coaching staffs, both got a QB, both released players ... there's a lot to go by RT @ehmacd  Not a big enough sample to tell.
200599938_301184935316832258 x	Kate Bush has never written a bad song.
200599938_392821869209853952 x	Congrats to @JordanRaanan for his new full-time job covering the Giants for http://t.co/VVnDywgulu. Nobody works harder. Kick ass up there!
200599938_395669519961571328 x	Eagles aren't tanking and aren't thinking finding a quarterback for 2014, Chip Kelly says. Here's why: http://t.co/DAgVhbPTFC
200599938_325583522905604100 x	At Woodbury High School announcing the 41st annual Woodbury Relays!
200599938_300793118767329282 x	The Who, Queen, the Kinks, the Pretenders & Oasis never won a Grammy. Milli Vanilli, Michael Bolton, Celine Dion, All-4-One & Baha Men have.
200599938_300794981336088578 x	sometimes I think the best band ever RT @NovaTom83  Kinks are definitely the classic definition of underrated. Long live #RayandDave
200599938_292114986757652480 x	Tim's been known to talk to imaginary people @brianstartare @sbaickerCSN if Sarah isn't real, who's @tpanotchCSN talking to in those videos
200599938_291786627381067777 x	Chip Kelly arrived in Philly Wednesday night and http://t.co/q41IluPV was there to say hi! He's our story: http://t.co/9y0jbc0B #EaglesTalk
200599938_291875432104611840 x	Going to be a fascinating day! What do you guys want me to ask Chip Kelly this afternoon?
200599938_291591382534078464 x	ESPN's Chris Mortensen: Chip Kelly is the new head coach of the Eagles.
200599938_291166373281927169 x	RE Gus: I'm told a deal is not imminent. Obviously top choice. He's still scheduled w. Jax & S.D. Eagles hope to do this before he leaves.
200599938_290832376156803073 x	I think my favorite football writer is @MikeSilver. Always a great read with a fresh perspective.
200599938_287595830871994368 x	Bengals OC Jay Gruden will be next candidate for Eagles, from @AdamSchefter -- will ask permission to interview Monday.
200599938_287570236004241408 x	This whole Eagles vs. Browns thing reminds me for some reason of the whole Blur vs. Oasis thing. I probably need to get some sleep.
200599938_287390315277582337 x	"their entire family all the best in their new home."
200599938_287401628989022208 x	My first year was 1988 for the Burlington County Times. Best job ever. @Jeff_Schram what year did you start covering the Eagles?
200599938_287406412773076992 x	Kevin Blakemore? Tragic story @Iggles2978  I met you at a track meet where u covered the story of my fallen track mate from Burl. Twp.
200599938_287407229647339520 x	yeah, I'll never forget Kevin. Ran 54.29 as a soph in 400IH. great kid @Iggles2978 Didn't expect you to remember! one of my best friends.
200599938_287410345306382336 x	Lou has been through hell. happy to see he's doing well now @Iggles2978  I ran with him as the 3rd leg with Louis Smith in the rear.
200599938_396100002591670272 x	92-yard INT return for Brent Grimes. Northeast H.S. Pride.
200599938_396101837251571713 x	So did I. Really like that kid RT @Jstip10 kind of thought Eagles would look at Grimes this year.
200599938_395337167846649856 x	Chip on 1st & goal: ?That's the first play we've run since Day 1,? Matt Barkley: "I never got a rep of that play." http://t.co/nN1cMfd2XS
200599938_373241320745099264 x	absolute lock RT @troyweller hope all is well Roob. Might be dumb question but Knott makes the team, right?
200599938_373222490400509952 x	Five former Eagles on the Jets: Austin Howard, Jaiquawn Jarrett, Isaiah Trufant, Antwan Barnes & Ricky Sapp [who just had the sack],
200599938_348609712322928640 x	LeSean wins it with a two-run walk-off HR over the left-field fence! 23-21 Eagles. 7th inning combined: 24 runs, 25 hits.
200599938_395614298355273728 x	Eagles announce Nick Foles and Patrick Chung were full participants at practice today.
200599938_394536436973592576 x	So I guess Alex Henery's field goal range is ... 60 yards and out?
200599938_393430237595193344 x	How's Michael Vick? How's Nick Foles? How's Koy Detmer? @GeoffMosherCSN has all the details: http://t.co/wQYQIZJUet
200599938_392017639725223936 x	Barkley has already made more strong throws than Foles. #EaglesTalk
200599938_389205609775521792 x	Just saw a WaWa driving around somewhere north of Tampa. So they have 'em in Florida now but not in Newtown?
200599938_385524722298937344 x	Most career QB wins vs. Eagles: Jim Hart 17, Danny White 17, Staubach 17, Jurgensen 13, Theismann 12, Morton 12, Aikman 10.
200599938_384475298894327808 x	Brandon Boykin: "He?s a great quarterback, but despite the fact that he?s good, we still played terrible. It was embarrassing." #EaglesTalk
200599938_374384945713537024 x	@GeoffMosherCSN Clifton Geathers? Marvin McNutley? Pete Roselle? Parsippany-Troy Vincent Hills? Wana-Q? Chris Hopatgocong? Joe Manala-Panos?
200599938_373286133423017985 x	I've covered 108 consecutive Eagles preseason games. That's the equivalent of 6 3/4 full NFL seasons!
200599938_252586657675636736 x	DeSean's first touchdown this year. Eagles had gone 15 straight possessions without a touchdown.
200599938_394569254982270977 x	Here ya go ... 10 Observations from Eagles-Giants. Recurring theme: What on Earth was Chip Kelly thinking?????? http://t.co/iGqK3PrNwz
200599938_377980994663776257 x	Went to see Tommy Keene tonight at the Sellersville Theater and the cigar factory next door is on fire! http://t.co/KcsMem54j3
200599938_379253141708881920 x	The last Eagles head coach to start 2-0? Nick Skorich in 1961. Replaced Buck Shaw, who retired following 1960 NFL Title Game win over Pack.
